Original Text,Language,Translated Text
"Kakati Corona iliwadia,niliona Nimefika mwisho,bill ziko,pesa hakuna ,customers wapungua/wengine wakataka vitu kwa mkopo,maisha yakawa magumu lakini tukazingatia masharti ya afya,Sasa wengine wamerudi kazi wakaanza tupunguza madeni mdogo,mdogo and I can see some light at the end of the tunnel 🤔",sw,"Corona arrived, I saw I came to an end, Bill located, no money, customers decreased / others wanted things on credit, life became difficult but we focused on health terms, now others have returned to work began to reduce the debt, younger and I CAN SEE LIGHT AT THE END OF THE TUNNEL 🤔"
Corona imeniaffect kwanza venye shule zilifungwa na my supportive customers n pupils,sw,Corona imeiaffect first ve hey schools were closed by my supportive customers n pupils
Jia ya kujikinga n kutii masharti,sw,NO to protect myself
Corona imeniaffect kikazi coz per day nilikuaa na sale ya 10000 12000 na Sikh hizi na range 7000 8000thousand but maina nikiongeza stock kazi imeanzs kurudi,sw,Corona Imediaffect Wealth Coz Per Day I Made And Sale of 10000 12000 And Sikh These and Range 7000 8000thousand But Maina Added Stock Work Imeanzs Return
Woi mimi nimesoea kuzia student sooo venye corona ilingia akuna customers walifunga wakaenda home maziwa inaharibika ovyo ovyo mikate same,sw,Woi I I am coming to Student Sooo Venye Corona contributed to the Customers They went home to the milk is damaged at Same cakes
"I heard the impact at my business on July when customers start migrate from urban to rural that is when i come to realise covid is real even have affected my business, but i come out with simple mathematics, selling fast moving good, reducing debt, i reduce borrowing much from wholesale, and i balance my living standard, so when get amount from MSPak i have to move forward with my business and following government regulation to fight Corona, be safe all.",en,"I heard the impact at my business on July when customers start migrate from urban to rural that is when i come to realise covid is real even have affected my business, but i come out with simple mathematics, selling fast moving good, reducing debt, i reduce borrowing much from wholesale, and i balance my living standard, so when get amount from MSPak i have to move forward with my business and following government regulation to fight Corona, be safe all."
"Huu ugonjwa umeleta shida mingi Kwanza customers kuhama sababu ya kukoza kipato sababu ya kupoteza kazi,bei kupanda vile some suppliers have closed shops, unnecessary cost associated with business ,closing early ,providing sanitizers and soaps to our Customers and also ourselves. Kukidhi haya lazima tuweke na tututii Sheria za wizara ya afya. Financing will help rejuvenate our business in a great way .",sw,"This disease has caused many problems first customers shift the reason for the reprimandatic cause of loss of work, the price rise SOME SUPPLIERS Have Closed Shops, Unnecessary Cost Associated with Business, Closing Early, Providing Sanitizers and Soaps To Our Customers and Also Ourself. To meet this we must put us and obey the laws of the Ministry of Health. Financing Will HELP Rejuvenate OUR Business In A Great Way."
Nikipewa hiyo doo nitabust kabiashara aki,ha,Nikipewa hiyo doo nitabust kabiashara aki
if i get this loan it wil help me boost my biz cz since march imekuwa tu kungengana,en,if i get this loan it wil help me boost my biz cz since march imekuwa tu kungengana
Nikipewa hii pesa nitalipa mia TATU kila siku.,sw,I am given this money I will pay three hundred daily.
Nikipewa hii pesa nitalipa mia TATU baada ya wiki mbili,sw,I am given this money I will pay three hundred after two weeks
Kwa nini,sw,Why
Nitalipa mia TATU baada ya kila wiki mbili ilinimalize deni.,sw,I'll pay three hundred after every two weeks ended the debt.
No sawa basi,sw,No OK then.
Ni sawa basi,sw,It's okay
Yes gd evening huo mradi ni mzuri itatuinua kibiashara,sw,YES GD Evening the project is good will lift commercial
Ni muradi gani rafiki,sw,What a friend
Dukas mspak ama mkopo,sw,Mspak Shop or Loan
Hi corona imeniaffect coz customers wangu walisimamishwa kazi wenye walokua wanafanya shopping kwangu lakini saa hii wote wamerudi kazi mkiniboost naona kazi yangu itarudi normal na zaidi,sw,Hi Corona IMeniaffect Coz My Customers were stopped working with Walochu doing a shopping to me but all this hour have returned work but I see my work will return to Normal and more
Wanapeana aje,sw,They give them come
Kwangu biashara ililudi chini juu ya madeni mob castomers wanakulilia nauwezi kuwacha MTU jaa,sw,To me the business was down on the debt Mob Castomers cry to you I can't stop a jaa
"Hi everyone, natumai siku imekua njema kwenu wote. Ahsante kwa walio changia kwa mada ya leo. Nataka niwakubushe kwamba kuchangia ni kwa kila mtu kwa hivyo mskae kimia muwe huru tufundishane. Kesho nitaweka topic nyingine nawaomba tuchangie wote. Kwa walio ungana nasi leo karibuni kwenye hii training group ya mradi wa mSPARK.",sw,"Hi everyone, I hope the day has grown up to you all. Thank you for those who contribute to today's topic. I want to shake you that contribute to everyone so the kimia may be free to teach. Tomorrow I will put another topic I ask you to squeeze all. For those who join us today soon on this Training Group of the MSPark project."
Thanks God bless u,en,Thanks God bless u
okey waiting for the training,en,okey waiting for the training
Kwa walio join leo hamjabaki nyuma sana tungependa kuskia kutoka kwenu pia. Corona ime affect biashara yako kivipi? Unafanya nini kuepuka au kupunguza makali ya Corona.,sw,For the Join today you haven't left too much we would like to come from you too. Corona has affect your business? What do you do to avoid or reduce the corona's edge.
Corona has really affected my biashara...cos job imeenda chini at times customer wanachukua vitu na deni and having that they have been my loyal customers all years inabidii tufanye kazi hivo,sw,Corona has really affected my business ... Cos Job has gone down at the Customer Times They take the items with the debt and having thats they have been my loyal customers all years
Ninataka pesa nitapaaje?,sw,I want money i will like?
"Kipunguza makali ya korona ni ku ensure my customers are putting on their masks kuosha mkono,na pia hakuna kucrowd kwa duka",sw,"Reduce the edge of the stork is to ensure My Customers ARE putting on their hand washing hand, and also no mucrowd for shop"
Munakuanga wapi please?,sw,Where are you pleas?
Kaži imerudi chini,sw,Kaži has returned below
"Na ili kupunguza makali haya nahakikisha wateja wangu wameosha mikono kwa sabuni,wamevaa barakoa na kukaa umbali",sw,"And to reduce this edge I ensure my customers have washed hands with soap, dressed in a distance and staying distance"
tuko ndwaru,sn,tuko ndwaru
"Good morning everyone, Today we are going to look into the issue of how, one can separate personal and business money, yaani pesa yako binafsi na pesa ya biashara. I would like to hear from everyone how they separate their personal money and business money.",en,"Good morning everyone, Today we are going to look into the issue of how, one can separate personal and business money, yaani pesa yako binafsi na pesa ya biashara. I would like to hear from everyone how they separate their personal money and business money."
Mimi vile nafanya ni kucount my profit n then half of it I use in my personal issue the other one half of it is my savings na ingine naendelesha biashara,en,Mimi vile nafanya ni kucount my profit n then half of it I use in my personal issue the other one half of it is my savings na ingine naendelesha biashara
"I calculate my profit on monthly bases only one third I pay myself as a salary , I save one third and the rest I add my stock.",en,"I calculate my profit on monthly bases only one third I pay myself as a salary , I save one third and the rest I add my stock."
"For me I just buy my home use stuff just like other customers,when my business was doing fine,could pay myself, pay bills concerning the business like kpa,etc,then save something,but my when I use my personal money for the business I count it as a loan which the business will pay at a given time",en,"For me I just buy my home use stuff just like other customers,when my business was doing fine,could pay myself, pay bills concerning the business like kpa,etc,then save something,but my when I use my personal money for the business I count it as a loan which the business will pay at a given time"
i account my daily money then in a wk tyme wht i get three quarter of it i add stock en the rest i divide it in to two say it is my profit/personal money so tht u cn make up if the shop is fr rent,en,i account my daily money then in a wk tyme wht i get three quarter of it i add stock en the rest i divide it in to two say it is my profit/personal money so tht u cn make up if the shop is fr rent
Mimi nliona inankalia ngumu nkaunda till no. so pesa za biashara uingia kwa till,sw,I saw the hard nkanya till. SO Business Money Signs for Till
"I do the calculations every day, I separate the profit, from the profit I cater for my daily needs and my savings, the rest I add stock",en,"I do the calculations every day, I separate the profit, from the profit I cater for my daily needs and my savings, the rest I add stock"
Hua namake sure every day nimesave za lent like 200then nasafe 120 za person use coz ufai kutoa pesa za job ati unaenda nazo chama ama raha zako🙏🙏,sw,Hua Namake Sure Everyday Day Nasafe of Lent Like 200then Nasafe 120 PERSON USE COZ UFUI Give Job's money you go with the party either pleasurable
Me i do calculations daily but i withdraw my profit weekly if i sell 1k =100shs profit if i sell 10k=1000shs profit so when it becomes to deduct profit/savings from capital/sales it becomes easy now i deduct other expenses from profit the b/l i can now save or use as required.,en,Me i do calculations daily but i withdraw my profit weekly if i sell 1k =100shs profit if i sell 10k=1000shs profit so when it becomes to deduct profit/savings from capital/sales it becomes easy now i deduct other expenses from profit the b/l i can now save or use as required.
"I save 200daily for my rent,buy house stuffs like customers,so that it is easy to calčulate my profits at the end of the month",en,"I save 200daily for my rent,buy house stuffs like customers,so that it is easy to calčulate my profits at the end of the month"
"Afternoon ,we normally do daily maths of purchases and sales the 10% is always kept daily this is regardless of the sales volume .The 90% is ploughed back for restocking. The 10% isolated is used for personal expenses and rent payment.",en,"Afternoon ,we normally do daily maths of purchases and sales the 10% is always kept daily this is regardless of the sales volume .The 90% is ploughed back for restocking. The 10% isolated is used for personal expenses and rent payment."
I do exactly the same,en,I do exactly the same
That is true....,en,That is true....
Yea true,en,Yea true
Ni ngumu kilakitu ni hii biasala yangu mbolaniwe nastoko yakutosha nitaendelea,sw,It's hard everything is this my biasalaniwa Nastoko I will continue
"Good morning, waiting for today's topic",en,"Good morning, waiting for today's topic"
Waiting for today's topic as well,en,Waiting for today's topic as well
Hy,af,Hy
"I calculate my profit on monthly bases only one third l pay myself ,pay bills,con earning the business like electricity and put the rest in M _pesa",en,"I calculate my profit on monthly bases only one third l pay myself ,pay bills,con earning the business like electricity and put the rest in M _pesa"
<Media omitted>,en,<Media omitted>
"Good morning everyone, hope you all doing great. Lets start our new week with financial management video. View the video and ask questions.",en,"Good morning everyone, hope you all doing great. Lets start our new week with financial management video. View the video and ask questions."
Good morning to you. Noted,en,Good morning to you. Noted
I normally try to keep a records on my expenses and daily sales and so i pay myself daily and that make it easy for me,en,I normally try to keep a records on my expenses and daily sales and so i pay myself daily and that make it easy for me
What ido is to keep my profit separately and that make it easy,en,What ido is to keep my profit separately and that make it easy
Sometimes I borrow from my shop then pay back when I get merry go round,en,Sometimes I borrow from my shop then pay back when I get merry go round
"I had one single account and have noted some mixe up of finances, ....so having a different one may help. #Lesson learnt.",en,"I had one single account and have noted some mixe up of finances, ....so having a different one may help. #Lesson learnt."
Morning tooo,en,Morning tooo
"this is a very good plan , paying yourself a salary",en,"this is a very good plan , paying yourself a salary"
"good, I will train on how to calculate your salary. usijilipe kidogo au nyingi",en,"good, I will train on how to calculate your salary. usijilipe kidogo au nyingi"
Good to hear this.thats what we need most.thanks,en,Good to hear this.thats what we need most.thanks
proper record keeping will help to separate the two,en,proper record keeping will help to separate the two
Thanks am ready learn,en,Thanks am ready learn
Learning alot on how to pay myself a salary and keep my business operating,en,Learning alot on how to pay myself a salary and keep my business operating
masomo na maswali ndio tuweze kusaidiana,sw,Readings and questions that we can help each other
how can I pay myself,en,how can I pay myself
Nawezaje kujilipa nakuweza kusave za job pliz advise na job isiagukeee 🙏🙏🙏,sw,How can I pay for me I can stay for Job Pliz Advise and Job isiagukee 🙏🙏🙏
Okay May I ask two questions a)how can i able to manage my expenses as I sometimes take money from my business and find trouble recovering the money back B)how can I be able to manage my two separate accounts?,en,Okay May I ask two questions a)how can i able to manage my expenses as I sometimes take money from my business and find trouble recovering the money back B)how can I be able to manage my two separate accounts?
"How do I separate salary and profit money, ie what percent should go to salary, kindly advise",en,"How do I separate salary and profit money, ie what percent should go to salary, kindly advise"
And what should go to savings?,en,And what should go to savings?
Good topic..,en,Good topic..
will train on this,en,will train on this
welcome,en,welcome
good record keeping itasaidia sana utajua kama biashara inaleata faida au hasara,sw,Good Record Keeping will help you so much you will know if the business inauta profit or loss
Asante,en,Asante
TRUE,en,TRUE
"Hi, I keep daily records of the sales, I deposit 90% to the business a/c and 10% to my personal a/c",en,"Hi, I keep daily records of the sales, I deposit 90% to the business a/c and 10% to my personal a/c"
"good, that 10 % inakua salary",sw,"Good, that 10% grows salary"
Wow great topic I'm ready to learn more,en,Wow great topic I'm ready to learn more
"Woow have seen a mistake I have ever done reading to relatives who don't pay back, and they /we think it's ok,as long they see you opening👍👍👍👍",en,"Woow have seen a mistake I have ever done reading to relatives who don't pay back, and they /we think it's ok,as long they see you opening👍👍👍👍"
👍,und,👍
Woow I'm learning more by the way vitu mingi hua sijui,en,Woow I'm learning more by the way vitu mingi hua sijui
"I was about to giveup on my shop, but now I've been learning my mistakes, with mspak na eda mbali",en,"I was about to giveup on my shop, but now I've been learning my mistakes, with mspak na eda mbali"
familia na marafiki wanaweza kuinuia biashara yako au kuiangusha unafaa uwe makini sana,sw,Families and friends can cite your business or hit you should be very careful
karibu uliza maswali ndio uweze kuelewa zaidi,sw,Welcome to ask questions that can understand more
What do I do with the relative and friends who borrow but take long to pay?,en,What do I do with the relative and friends who borrow but take long to pay?
Nawezaje kujilipa nakumaitein stock,sw,How can I pay for Navaitein Stock
Great,en,Great
Some of the my common issues are friends and relatives who require goods or money but pay after so long or others avoid payment at all. This make them assume you've a duty to make sure they are well hence you're not a priority when it comes to pay what they owe you. Of late I have taught myself a lesson Decline their stories at the earliest. Minimize contact to only what and when is absolutely necessary. Demand for security against any good or cash given based on Client's debt quotas. This weeds out jokers and trick playing clients.,en,Some of the my common issues are friends and relatives who require goods or money but pay after so long or others avoid payment at all. This make them assume you've a duty to make sure they are well hence you're not a priority when it comes to pay what they owe you. Of late I have taught myself a lesson Decline their stories at the earliest. Minimize contact to only what and when is absolutely necessary. Demand for security against any good or cash given based on Client's debt quotas. This weeds out jokers and trick playing clients.
tutakua na somo kuhusu namna utafanya hesabu ndio ujilipe mshahara kila mwezi ndio uweze kutumia mshahara yako kwa matumizi yako binafsi,sw,We will grow up with a lesson about how you will calculate what you pay for the monthly salary is to use your salary for your personal use
Sawa asante,sw,OK thank you.
"Ready to learn, thanks",en,"Ready to learn, thanks"
"good, kwenye biashara ni muhimu sana kujua nini inaiangusha ile uweze kuepuka , for your case you have identified your weakness so work on them to make sure your business is succeed, kwenye biashara familia na marafiki wanaweza kuiinua au kuiangusha",sw,"Good, on the business is very important to know what it overthrows that you can escape, for your case you have Identified Your Weakness So Work On Them To Make Sure Your Business Is Succeed, Business Family and Friends Can Raise or Fall"
Very educative and timely video,en,Very educative and timely video
Am learning alot this is a very educative platform thankyou Mspak,en,Am learning alot this is a very educative platform thankyou Mspak
"Thank you ,ready to answer questions",en,"Thank you ,ready to answer questions"
"This is educative, (1)how can i be able to deal with customers who only buy a bread several times an come a time need to borrow Unga, soda, rice, etc, which never bought at my shop and to pay when she /he get money.",en,"This is educative, (1)how can i be able to deal with customers who only buy a bread several times an come a time need to borrow Unga, soda, rice, etc, which never bought at my shop and to pay when she /he get money."
"you are in control of your business, you got every right to minimize borrowing .",en,"you are in control of your business, you got every right to minimize borrowing ."
That is true,en,That is true
A good answer,en,A good answer
"Hope by now we have learnt that we should pay ourselves salary , when we borrow from our businesses we should repay back, we should have separate accounts for business and personal money and finally we should keep records. This takes us to our next video on record keeping lets watch this video",en,"Hope by now we have learnt that we should pay ourselves salary , when we borrow from our businesses we should repay back, we should have separate accounts for business and personal money and finally we should keep records. This takes us to our next video on record keeping lets watch this video"
<Media omitted>,en,<Media omitted>
Yes I have learnt a lot 🙏🙏,en,Yes I have learnt a lot 🙏🙏
Asante nimesoma ya kutosha na najua bisshara yangu itaendelea,sw,Thank you I have read enough and I know my billion will continue
Learning some knowledge here,en,Learning some knowledge here
"Informative,thanks.",en,"Informative,thanks."
👍🏻👍🏻,und,👍🏻👍🏻
"Yes , inakua salary",sw,"YES, it grows salary"
Have learnt alot 🙏🏽🙏🏽,en,Have learnt alot 🙏🏽🙏🏽
It's a good topic av now learnt how to manage my business thank you once again,en,It's a good topic av now learnt how to manage my business thank you once again
"Thanks, I've learned a lot, and still hoping to learn more through mspak. God bless",en,"Thanks, I've learned a lot, and still hoping to learn more through mspak. God bless"
Thanks alot nimejua vitu Ming sana how to manage biashara,sw,Thanks Alot I have known the things Ming too how to manage business
Have learn more in this group...now I now many things,en,Have learn more in this group...now I now many things
✅✅,und,✅✅
following👆🏿👆🏿,en,following👆🏿👆🏿
Thanks for the fine message,en,Thanks for the fine message
I really learn alot,en,I really learn alot
I have learned how to manage my business.,en,I have learned how to manage my business.
👍🏼👍🏼,und,👍🏼👍🏼
"Morning everyone, today we are going to emphasize mostly on what we were going through yesterday to make sure that is well understood. We expect everyone to revisit the video and at least comprehend it.",en,"Morning everyone, today we are going to emphasize mostly on what we were going through yesterday to make sure that is well understood. We expect everyone to revisit the video and at least comprehend it."
You know what!!! I have learn..a lot...,en,You know what!!! I have learn..a lot...
"Morning, am glad I now know the importance of record keeping in my business. I never used to do it daily but now will be very keen and believe my business will improve alot",en,"Morning, am glad I now know the importance of record keeping in my business. I never used to do it daily but now will be very keen and believe my business will improve alot"
"I will and must put more efforts in record keeping, although I normally don't do it effectively",en,"I will and must put more efforts in record keeping, although I normally don't do it effectively"
Hi...plz help me here...I want to start my business...which business is good...and for much money I start with,en,Hi...plz help me here...I want to start my business...which business is good...and for much money I start with
Apart from shop...naeza anza gani ingine?,sw,Apart from Shop ... Naeza What other Another?
"Establish your passion first then analyse requirements of each of business opportunity, capital, labour and location and supply networks you may need. My opinion though.",en,"Establish your passion first then analyse requirements of each of business opportunity, capital, labour and location and supply networks you may need. My opinion though."
"What I have learned is,I should keep a record of how much I sell in a day and in that I calculate the profit,from profit I pay myself a 10percent for my expenses, after that I make sure any cash I take, borrow or give to a relative or friend is recorded for ad returned to the business as soon as possible,CO's if I don't do that with time I will find myself lacking money to pay for the necessary expenses of my business ad this will make me run out of stock ad by this ultimately means IAM selling less ad thus making less profit ad that lead me to lack of money to pay my supplier CO's of this my business will fail. finally I have learned that the money/stock in my business it's the one make more money ad make my business grow",en,"What I have learned is,I should keep a record of how much I sell in a day and in that I calculate the profit,from profit I pay myself a 10percent for my expenses, after that I make sure any cash I take, borrow or give to a relative or friend is recorded for ad returned to the business as soon as possible,CO's if I don't do that with time I will find myself lacking money to pay for the necessary expenses of my business ad this will make me run out of stock ad by this ultimately means IAM selling less ad thus making less profit ad that lead me to lack of money to pay my supplier CO's of this my business will fail. finally I have learned that the money/stock in my business it's the one make more money ad make my business grow"
Woow have learnt alot,en,Woow have learnt alot
I never used to keep record on a daily basis but now i will..,en,I never used to keep record on a daily basis but now i will..
Don't worry will train on this,en,Don't worry will train on this
"Morning everyone, today we are going to emphasize mostly on what we were going through yesterday to make sure that is well understood. We expect everyone to revisit the video and at least comprehend it.",en,"Morning everyone, today we are going to emphasize mostly on what we were going through yesterday to make sure that is well understood. We expect everyone to revisit the video and at least comprehend it."
<Media omitted>,en,<Media omitted>
<Media omitted>,en,<Media omitted>
<Media omitted>,en,<Media omitted>
Hi mradi kusema ukweli imenisaidia sana kea sababu nimesoma ya kutosha nimejua kuhusu account ya biashara naingine ndio nisichanganye pesa tena kuhusu record mengi nimesoma nanimeshukuru asante,sw,Hi Project Frankly helped me so much because I have read enough I have known about the business account I have to confuse money again about the Record Many I have read what I have been spoken
You have only to give them what they buys,en,You have only to give them what they buys
Ni poa wapewe hicho kitu peke yake.,sw,It's a given thing to be given to you.
I have learned a lot .how to keep records and opening business account,en,I have learned a lot .how to keep records and opening business account
"To add the advantage of keeping records the will help you to stock new varieties coz if a customer asks a new item of which you are not stocking, note it down to include it next time you are ordering your stock.",en,"To add the advantage of keeping records the will help you to stock new varieties coz if a customer asks a new item of which you are not stocking, note it down to include it next time you are ordering your stock."
"True, also it helps on reducing some slow moving stocks which at the end hold up business money in unhealthy way.",en,"True, also it helps on reducing some slow moving stocks which at the end hold up business money in unhealthy way."
Sure it will help you to avoid restocking dead stock and help you to stock fast moving items in large quantity and slow moving in small quantity.,en,Sure it will help you to avoid restocking dead stock and help you to stock fast moving items in large quantity and slow moving in small quantity.
Record keeping also helps identifying what is moving slow or fast and thus we avoiding restocking the same items in bulk,en,Record keeping also helps identifying what is moving slow or fast and thus we avoiding restocking the same items in bulk
Waaoooh! masomo muhimu Sana. Thanks for kutu elimisha,sw,Waooooh! very important subjects. Thanks for corrosion
"I have learn more about paying myself, proper records, repaying the business drawings, separate account for business and personal account, having records for those i owe money, all are more health in my business.",en,"I have learn more about paying myself, proper records, repaying the business drawings, separate account for business and personal account, having records for those i owe money, all are more health in my business."
"For me I alwaiz keep record, by the end of the day I know my total sales +profit, I take 10 percent as my salary daily..endmonth I calculate everything n record so I hv all my record well kept..it help me a lot to grow..",en,"For me I alwaiz keep record, by the end of the day I know my total sales +profit, I take 10 percent as my salary daily..endmonth I calculate everything n record so I hv all my record well kept..it help me a lot to grow.."
N knw my total sales of the month n profit,en,N knw my total sales of the month n profit
I totally agree with you👍🏽,en,I totally agree with you👍🏽
Record keeping helps in evaluating Wats in demand and Wats moving slowly in all quantity,en,Record keeping helps in evaluating Wats in demand and Wats moving slowly in all quantity
av gained alot of information since we started the training,en,av gained alot of information since we started the training
Asante kwa mafunzo,sw,Thank you for training
Thanks so much for the good lesson am now focused on everything av learnt n believe my business will learn smoothly,en,Thanks so much for the good lesson am now focused on everything av learnt n believe my business will learn smoothly
Thnx for the concern and good lessons may God bless you abundantly,en,Thnx for the concern and good lessons may God bless you abundantly
Asante kwa mafunzo will continue taking notes,sw,Thank you for training Will Continue Taking Notes
I've learnt the importance of record keeping to keep track of the business' activities and transactions. Record keeping also helps in knowing whether the business is incurring losses or profits,en,I've learnt the importance of record keeping to keep track of the business' activities and transactions. Record keeping also helps in knowing whether the business is incurring losses or profits
Also the importance of having separate accounts.. for the business and for personal use.... Thanks for sharing,en,Also the importance of having separate accounts.. for the business and for personal use.... Thanks for sharing
Pesa inayotumika kwa biashara ndio inatumika kukuza biashara na kuzalisha zaidi...wow!,sw,Money used for business is used to promote business and produce more ... WOW!
Asanti kwa mafunzo,sw,Asanti for training.
Asante Sana kwa mafunzo Sasa nitaweza kukuza biashara yangu vizuri,sw,Thank you very much for training now I can promote my business well
Naendelea kujifaidi na tajiriba kwa biashara,sw,Kept prosperous and experienced by business
Mimi nimesoma sana kwanza mtu mwenye anunua unga anabuy too kiberiti akichota ooh nipee unga nalipa end month akuna tena,sw,I have read the first person who buys a dough Anabuy Too sulfur drawing ooh me powder I pay End Month again
Yeah hapo niukweli,sw,Yeah there is truly
Nimeweza kujua mengi kupigia kwa hii masomo...sasa tukoka leo ntaanza kushugulikia account ya biashara ili nieze kuboresha biashara yangu,sw,I have been able to know a lot ringing for this lessons ... Now when we start today will begin to deal with business accounts to improve my business
Nashukuru kwa mafunzo,sw,I am grateful for training.
Me too am proud to be there,en,Me too am proud to be there
I have learn more thaku so much,en,I have learn more thaku so much
Woow 🙋👍👍👍,id,Woow 🙋👍👍👍
The formula is great but got some challenges. Coz some customers are long term but when they borrow sometime it too long for them to pay..... how do we deal with such people ?,en,The formula is great but got some challenges. Coz some customers are long term but when they borrow sometime it too long for them to pay..... how do we deal with such people ?
Lesson learnt the things i did know nazijua sasa they will help me manage my business,en,Lesson learnt the things i did know nazijua sasa they will help me manage my business
Was wondering about that too🤔,en,Was wondering about that too🤔
"As I said before you are your own decision maker in your business but why should you loan someone who pays after a long time? Such customers are liability in business ,its always good to identify your areas of weakness and in this case those customers are your weakness so its always better to regulate them",en,"As I said before you are your own decision maker in your business but why should you loan someone who pays after a long time? Such customers are liability in business ,its always good to identify your areas of weakness and in this case those customers are your weakness so its always better to regulate them"
